TimeID,Hour24,Hour12,Minute,Second,AMPM,FullTime24,FullTime12,TimeOfDay
0,0,12,0,0,AM,0:00:00,12:00:00 AM,Night
1,0,12,0,1,AM,0:00:01,12:00:01 AM,Night
2,0,12,0,2,AM,0:00:02,12:00:02 AM,Night
3,0,12,0,3,AM,0:00:03,12:00:03 AM,Night
4,0,12,0,4,AM,0:00:04,12:00:04 AM,Night
5,0,12,0,5,AM,0:00:05,12:00:05 AM,Night
6,0,12,0,6,AM,0:00:06,12:00:06 AM,Night
7,0,12,0,7,AM,0:00:07,12:00:07 AM,Night
8,0,12,0,8,AM,0:00:08,12:00:08 AM,Night
9,0,12,0,9,AM,0:00:09,12:00:09 AM,Night
10,0,12,0,10,AM,0:00:10,12:00:10 AM,Night
11,0,12,0,11,AM,0:00:11,12:00:11 AM,Night
12,0,12,0,12,AM,0:00:12,12:00:12 AM,Night
13,0,12,0,13,AM,0:00:13,12:00:13 AM,Night
14,0,12,0,14,AM,0:00:14,12:00:14 AM,Night
15,0,12,0,15,AM,0:00:15,12:00:15 AM,Night
16,0,12,0,16,AM,0:00:16,12:00:16 AM,Night
17,0,12,0,17,AM,0:00:17,12:00:17 AM,Night
18,0,12,0,18,AM,0:00:18,12:00:18 AM,Night
19,0,12,0,19,AM,0:00:19,12:00:19 AM,Night
20,0,12,0,20,AM,0:00:20,12:00:20 AM,Night
21,0,12,0,21,AM,0:00:21,12:00:21 AM,Night
22,0,12,0,22,AM,0:00:22,12:00:22 AM,Night
23,0,12,0,23,AM,0:00:23,12:00:23 AM,Night
24,0,12,0,24,AM,0:00:24,12:00:24 AM,Night
25,0,12,0,25,AM,0:00:25,12:00:25 AM,Night
26,0,12,0,26,AM,0:00:26,12:00:26 AM,Night
27,0,12,0,27,AM,0:00:27,12:00:27 AM,Night
28,0,12,0,28,AM,0:00:28,12:00:28 AM,Night
29,0,12,0,29,AM,0:00:29,12:00:29 AM,Night
30,0,12,0,30,AM,0:00:30,12:00:30 AM,Night
31,0,12,0,31,AM,0:00:31,12:00:31 AM,Night
32,0,12,0,32,AM,0:00:32,12:00:32 AM,Night
33,0,12,0,33,AM,0:00:33,12:00:33 AM,Night
34,0,12,0,34,AM,0:00:34,12:00:34 AM,Night
35,0,12,0,35,AM,0:00:35,12:00:35 AM,Night
36,0,12,0,36,AM,0:00:36,12:00:36 AM,Night
37,0,12,0,37,AM,0:00:37,12:00:37 AM,Night
38,0,12,0,38,AM,0:00:38,12:00:38 AM,Night
39,0,12,0,39,AM,0:00:39,12:00:39 AM,Night
40,0,12,0,40,AM,0:00:40,12:00:40 AM,Night
41,0,12,0,41,AM,0:00:41,12:00:41 AM,Night
42,0,12,0,42,AM,0:00:42,12:00:42 AM,Night
43,0,12,0,43,AM,0:00:43,12:00:43 AM,Night
44,0,12,0,44,AM,0:00:44,12:00:44 AM,Night
45,0,12,0,45,AM,0:00:45,12:00:45 AM,Night
46,0,12,0,46,AM,0:00:46,12:00:46 AM,Night
47,0,12,0,47,AM,0:00:47,12:00:47 AM,Night
48,0,12,0,48,AM,0:00:48,12:00:48 AM,Night
49,0,12,0,49,AM,0:00:49,12:00:49 AM,Night
50,0,12,0,50,AM,0:00:50,12:00:50 AM,Night
51,0,12,0,51,AM,0:00:51,12:00:51 AM,Night
52,0,12,0,52,AM,0:00:52,12:00:52 AM,Night
53,0,12,0,53,AM,0:00:53,12:00:53 AM,Night
54,0,12,0,54,AM,0:00:54,12:00:54 AM,Night
55,0,12,0,55,AM,0:00:55,12:00:55 AM,Night
56,0,12,0,56,AM,0:00:56,12:00:56 AM,Night
57,0,12,0,57,AM,0:00:57,12:00:57 AM,Night
58,0,12,0,58,AM,0:00:58,12:00:58 AM,Night
59,0,12,0,59,AM,0:00:59,12:00:59 AM,Night
100,0,12,1,0,AM,0:01:00,12:01:00 AM,Night
101,0,12,1,1,AM,0:01:01,12:01:01 AM,Night
102,0,12,1,2,AM,0:01:02,12:01:02 AM,Night
103,0,12,1,3,AM,0:01:03,12:01:03 AM,Night
104,0,12,1,4,AM,0:01:04,12:01:04 AM,Night
105,0,12,1,5,AM,0:01:05,12:01:05 AM,Night
106,0,12,1,6,AM,0:01:06,12:01:06 AM,Night
107,0,12,1,7,AM,0:01:07,12:01:07 AM,Night
108,0,12,1,8,AM,0:01:08,12:01:08 AM,Night
109,0,12,1,9,AM,0:01:09,12:01:09 AM,Night
110,0,12,1,10,AM,0:01:10,12:01:10 AM,Night
111,0,12,1,11,AM,0:01:11,12:01:11 AM,Night
112,0,12,1,12,AM,0:01:12,12:01:12 AM,Night
113,0,12,1,13,AM,0:01:13,12:01:13 AM,Night
114,0,12,1,14,AM,0:01:14,12:01:14 AM,Night
115,0,12,1,15,AM,0:01:15,12:01:15 AM,Night
116,0,12,1,16,AM,0:01:16,12:01:16 AM,Night
117,0,12,1,17,AM,0:01:17,12:01:17 AM,Night
118,0,12,1,18,AM,0:01:18,12:01:18 AM,Night
119,0,12,1,19,AM,0:01:19,12:01:19 AM,Night
120,0,12,1,20,AM,0:01:20,12:01:20 AM,Night
121,0,12,1,21,AM,0:01:21,12:01:21 AM,Night
122,0,12,1,22,AM,0:01:22,12:01:22 AM,Night
123,0,12,1,23,AM,0:01:23,12:01:23 AM,Night
124,0,12,1,24,AM,0:01:24,12:01:24 AM,Night
125,0,12,1,25,AM,0:01:25,12:01:25 AM,Night
126,0,12,1,26,AM,0:01:26,12:01:26 AM,Night
127,0,12,1,27,AM,0:01:27,12:01:27 AM,Night
128,0,12,1,28,AM,0:01:28,12:01:28 AM,Night
129,0,12,1,29,AM,0:01:29,12:01:29 AM,Night
130,0,12,1,30,AM,0:01:30,12:01:30 AM,Night
131,0,12,1,31,AM,0:01:31,12:01:31 AM,Night
132,0,12,1,32,AM,0:01:32,12:01:32 AM,Night
133,0,12,1,33,AM,0:01:33,12:01:33 AM,Night
134,0,12,1,34,AM,0:01:34,12:01:34 AM,Night
135,0,12,1,35,AM,0:01:35,12:01:35 AM,Night
136,0,12,1,36,AM,0:01:36,12:01:36 AM,Night
137,0,12,1,37,AM,0:01:37,12:01:37 AM,Night
138,0,12,1,38,AM,0:01:38,12:01:38 AM,Night
139,0,12,1,39,AM,0:01:39,12:01:39 AM,Night
140,0,12,1,40,AM,0:01:40,12:01:40 AM,Night
141,0,12,1,41,AM,0:01:41,12:01:41 AM,Night
142,0,12,1,42,AM,0:01:42,12:01:42 AM,Night
143,0,12,1,43,AM,0:01:43,12:01:43 AM,Night
144,0,12,1,44,AM,0:01:44,12:01:44 AM,Night
145,0,12,1,45,AM,0:01:45,12:01:45 AM,Night
146,0,12,1,46,AM,0:01:46,12:01:46 AM,Night
147,0,12,1,47,AM,0:01:47,12:01:47 AM,Night
148,0,12,1,48,AM,0:01:48,12:01:48 AM,Night
149,0,12,1,49,AM,0:01:49,12:01:49 AM,Night
150,0,12,1,50,AM,0:01:50,12:01:50 AM,Night
151,0,12,1,51,AM,0:01:51,12:01:51 AM,Night
152,0,12,1,52,AM,0:01:52,12:01:52 AM,Night
153,0,12,1,53,AM,0:01:53,12:01:53 AM,Night
154,0,12,1,54,AM,0:01:54,12:01:54 AM,Night
155,0,12,1,55,AM,0:01:55,12:01:55 AM,Night
156,0,12,1,56,AM,0:01:56,12:01:56 AM,Night
157,0,12,1,57,AM,0:01:57,12:01:57 AM,Night
158,0,12,1,58,AM,0:01:58,12:01:58 AM,Night
159,0,12,1,59,AM,0:01:59,12:01:59 AM,Night
200,0,12,2,0,AM,0:02:00,12:02:00 AM,Night
201,0,12,2,1,AM,0:02:01,12:02:01 AM,Night
202,0,12,2,2,AM,0:02:02,12:02:02 AM,Night
203,0,12,2,3,AM,0:02:03,12:02:03 AM,Night
204,0,12,2,4,AM,0:02:04,12:02:04 AM,Night
205,0,12,2,5,AM,0:02:05,12:02:05 AM,Night
206,0,12,2,6,AM,0:02:06,12:02:06 AM,Night
207,0,12,2,7,AM,0:02:07,12:02:07 AM,Night
208,0,12,2,8,AM,0:02:08,12:02:08 AM,Night
209,0,12,2,9,AM,0:02:09,12:02:09 AM,Night
210,0,12,2,10,AM,0:02:10,12:02:10 AM,Night
211,0,12,2,11,AM,0:02:11,12:02:11 AM,Night
212,0,12,2,12,AM,0:02:12,12:02:12 AM,Night
213,0,12,2,13,AM,0:02:13,12:02:13 AM,Night
214,0,12,2,14,AM,0:02:14,12:02:14 AM,Night
215,0,12,2,15,AM,0:02:15,12:02:15 AM,Night
216,0,12,2,16,AM,0:02:16,12:02:16 AM,Night
217,0,12,2,17,AM,0:02:17,12:02:17 AM,Night
218,0,12,2,18,AM,0:02:18,12:02:18 AM,Night
219,0,12,2,19,AM,0:02:19,12:02:19 AM,Night
220,0,12,2,20,AM,0:02:20,12:02:20 AM,Night
221,0,12,2,21,AM,0:02:21,12:02:21 AM,Night
222,0,12,2,22,AM,0:02:22,12:02:22 AM,Night
223,0,12,2,23,AM,0:02:23,12:02:23 AM,Night
224,0,12,2,24,AM,0:02:24,12:02:24 AM,Night
225,0,12,2,25,AM,0:02:25,12:02:25 AM,Night
226,0,12,2,26,AM,0:02:26,12:02:26 AM,Night
227,0,12,2,27,AM,0:02:27,12:02:27 AM,Night
228,0,12,2,28,AM,0:02:28,12:02:28 AM,Night
229,0,12,2,29,AM,0:02:29,12:02:29 AM,Night
230,0,12,2,30,AM,0:02:30,12:02:30 AM,Night
231,0,12,2,31,AM,0:02:31,12:02:31 AM,Night
232,0,12,2,32,AM,0:02:32,12:02:32 AM,Night
233,0,12,2,33,AM,0:02:33,12:02:33 AM,Night
234,0,12,2,34,AM,0:02:34,12:02:34 AM,Night
235,0,12,2,35,AM,0:02:35,12:02:35 AM,Night
236,0,12,2,36,AM,0:02:36,12:02:36 AM,Night
237,0,12,2,37,AM,0:02:37,12:02:37 AM,Night
238,0,12,2,38,AM,0:02:38,12:02:38 AM,Night
239,0,12,2,39,AM,0:02:39,12:02:39 AM,Night
240,0,12,2,40,AM,0:02:40,12:02:40 AM,Night
241,0,12,2,41,AM,0:02:41,12:02:41 AM,Night
242,0,12,2,42,AM,0:02:42,12:02:42 AM,Night
243,0,12,2,43,AM,0:02:43,12:02:43 AM,Night
244,0,12,2,44,AM,0:02:44,12:02:44 AM,Night
245,0,12,2,45,AM,0:02:45,12:02:45 AM,Night
246,0,12,2,46,AM,0:02:46,12:02:46 AM,Night
247,0,12,2,47,AM,0:02:47,12:02:47 AM,Night
248,0,12,2,48,AM,0:02:48,12:02:48 AM,Night
249,0,12,2,49,AM,0:02:49,12:02:49 AM,Night
250,0,12,2,50,AM,0:02:50,12:02:50 AM,Night
251,0,12,2,51,AM,0:02:51,12:02:51 AM,Night
252,0,12,2,52,AM,0:02:52,12:02:52 AM,Night
253,0,12,2,53,AM,0:02:53,12:02:53 AM,Night
254,0,12,2,54,AM,0:02:54,12:02:54 AM,Night
255,0,12,2,55,AM,0:02:55,12:02:55 AM,Night
256,0,12,2,56,AM,0:02:56,12:02:56 AM,Night
257,0,12,2,57,AM,0:02:57,12:02:57 AM,Night
258,0,12,2,58,AM,0:02:58,12:02:58 AM,Night
259,0,12,2,59,AM,0:02:59,12:02:59 AM,Night
300,0,12,3,0,AM,0:03:00,12:03:00 AM,Night
301,0,12,3,1,AM,0:03:01,12:03:01 AM,Night
302,0,12,3,2,AM,0:03:02,12:03:02 AM,Night
303,0,12,3,3,AM,0:03:03,12:03:03 AM,Night
304,0,12,3,4,AM,0:03:04,12:03:04 AM,Night
305,0,12,3,5,AM,0:03:05,12:03:05 AM,Night
306,0,12,3,6,AM,0:03:06,12:03:06 AM,Night
307,0,12,3,7,AM,0:03:07,12:03:07 AM,Night
308,0,12,3,8,AM,0:03:08,12:03:08 AM,Night
309,0,12,3,9,AM,0:03:09,12:03:09 AM,Night
310,0,12,3,10,AM,0:03:10,12:03:10 AM,Night
311,0,12,3,11,AM,0:03:11,12:03:11 AM,Night
312,0,12,3,12,AM,0:03:12,12:03:12 AM,Night
313,0,12,3,13,AM,0:03:13,12:03:13 AM,Night
314,0,12,3,14,AM,0:03:14,12:03:14 AM,Night
315,0,12,3,15,AM,0:03:15,12:03:15 AM,Night
316,0,12,3,16,AM,0:03:16,12:03:16 AM,Night
317,0,12,3,17,AM,0:03:17,12:03:17 AM,Night
318,0,12,3,18,AM,0:03:18,12:03:18 AM,Night
319,0,12,3,19,AM,0:03:19,12:03:19 AM,Night
320,0,12,3,20,AM,0:03:20,12:03:20 AM,Night
321,0,12,3,21,AM,0:03:21,12:03:21 AM,Night
322,0,12,3,22,AM,0:03:22,12:03:22 AM,Night
323,0,12,3,23,AM,0:03:23,12:03:23 AM,Night
324,0,12,3,24,AM,0:03:24,12:03:24 AM,Night
325,0,12,3,25,AM,0:03:25,12:03:25 AM,Night
326,0,12,3,26,AM,0:03:26,12:03:26 AM,Night
327,0,12,3,27,AM,0:03:27,12:03:27 AM,Night
328,0,12,3,28,AM,0:03:28,12:03:28 AM,Night
329,0,12,3,29,AM,0:03:29,12:03:29 AM,Night
330,0,12,3,30,AM,0:03:30,12:03:30 AM,Night
331,0,12,3,31,AM,0:03:31,12:03:31 AM,Night
332,0,12,3,32,AM,0:03:32,12:03:32 AM,Night
333,0,12,3,33,AM,0:03:33,12:03:33 AM,Night
334,0,12,3,34,AM,0:03:34,12:03:34 AM,Night
335,0,12,3,35,AM,0:03:35,12:03:35 AM,Night
336,0,12,3,36,AM,0:03:36,12:03:36 AM,Night
337,0,12,3,37,AM,0:03:37,12:03:37 AM,Night
338,0,12,3,38,AM,0:03:38,12:03:38 AM,Night
339,0,12,3,39,AM,0:03:39,12:03:39 AM,Night
